as_of_date,cumulative_detained_cbp_arrest,cumulative_detained_ice_arrest,cumulative_detained_total
2020-03-14,18282.0,19029.0,37311.0
2020-03-21,20880.0,21307.0,42187.0
2020-03-28,21975.0,22915.0,44890.0
2020-03-31,22274.0,23474.0,45748.0
2020-04-04,22794.0,24360.0,47154.0
2020-04-11,23583.0,25675.0,49258.0
2020-04-18,24172.0,26969.0,51141.0
2020-04-25,24738.0,28195.0,52933.0
2020-04-30,25178.0,29087.0,54265.0
2020-05-02,25325.0,29430.0,54755.0
2020-05-09,25827.0,30716.0,56543.0
2020-05-16,26211.0,31953.0,58164.0
2020-05-23,26622.0,33223.0,59845.0
2020-05-30,27015.0,34384.0,61399.0
2020-05-31,27061.0,34481.0,61542.0
2020-06-06,27351.0,35613.0,62964.0
2020-06-13,27756.0,36806.0,64562.0
2020-06-20,28135.0,37966.0,66101.0
2020-06-27,28505.0,39130.0,67635.0
2020-06-30,28646.0,39584.0,68230.0
2020-07-04,28835.0,40267.0,69102.0
2020-07-11,29220.0,41463.0,70683.0
2020-07-18,29623.0,42664.0,72287.0
2020-07-25,30010.0,43991.0,74001.0
2020-07-31,30331.0,45439.0,75770.0
2020-08-01,30345.0,45499.0,75844.0
2020-08-08,30697.0,47023.0,77720.0
2020-08-15,31067.0,48689.0,79756.0
2020-08-29,31921.0,51605.0,83526.0
2020-08-31,32074.0,51973.0,84047.0
2020-09-12,32702.0,54580.0,87282.0
2020-09-30,32702.0,54580.0,87282.0
2020-10-31,34463.0,58779.0,93242.0
2020-11-07,34960.0,60312.0,95272.0
2020-11-21,35928.0,63300.0,99228.0
2020-11-30,36541.0,64757.0,101298.0
2020-12-05,36999.0,65923.0,102922.0
2020-12-19,38235.0,68999.0,107234.0
